@timestamp,system.auth.ssh.event,system.auth.ssh.method,user.name,source.ip,source.geo.country_iso_code
"Jul 24, 2023 @ 17:52:21.000",Failed,password,root,221.150.169.127,KR
"Jul 24, 2023 @ 17:52:18.000",Failed,password,root,221.150.169.127,KR
"Jul 24, 2023 @ 17:43:48.000",Failed,password, dbadmin,45.95.146.103,NL
"Jul 24, 2023 @ 17:43:46.000",Invalid,-,dbadmin,45.95.146.103,NL
"Jul 24, 2023 @ 17:43:26.000",Failed,password,root,45.95.146.103,NL
"Jul 24, 2023 @ 17:43:04.000",Failed,password, sftp,45.95.146.103,NL
"Jul 24, 2023 @ 17:43:02.000",Invalid,-,sftp,45.95.146.103,NL
"Jul 24, 2023 @ 17:32:54.000",Failed,password,root,45.95.146.103,NL
"Jul 24, 2023 @ 17:32:32.000",Failed,password, gns3,45.95.146.103,NL
"Jul 24, 2023 @ 17:32:30.000",Invalid,-,gns3,45.95.146.103,NL
"Jul 24, 2023 @ 17:32:09.000",Failed,password,root,45.95.146.103,NL
"Jul 24, 2023 @ 17:31:46.000",Failed,password,root,45.95.146.103,NL
"Jul 24, 2023 @ 16:50:02.000",Failed,password,root,65.109.48.79,FI
"Jul 24, 2023 @ 16:49:59.000",Failed,password,root,65.109.48.79,FI
"Jul 24, 2023 @ 16:49:56.000",Failed,password,root,65.109.48.79,FI
"Jul 24, 2023 @ 16:49:52.000",Failed,password,root,65.109.48.79,FI
"Jul 24, 2023 @ 16:49:49.000",Failed,password,root,65.109.48.79,FI
"Jul 24, 2023 @ 15:20:19.000",Failed,password,root,185.224.128.141,NL
"Jul 24, 2023 @ 15:18:22.000",Failed,password,root,185.224.128.141,NL
"Jul 24, 2023 @ 15:16:51.000",Failed,password,root,185.224.128.141,NL
"Jul 24, 2023 @ 15:15:12.000",Failed,password,root,185.224.128.141,NL
"Jul 24, 2023 @ 15:14:08.000",Failed,password,root,185.224.128.141,NL
"Jul 24, 2023 @ 14:50:09.000",Failed,password, admin,210.146.173.28,JP
"Jul 24, 2023 @ 14:50:07.000",Invalid,-,admin,210.146.173.28,JP
"Jul 24, 2023 @ 14:48:56.000",Failed,password, admin,59.0.197.79,KR
"Jul 24, 2023 @ 14:48:52.000",Failed,password, admin,59.0.197.79,KR
"Jul 24, 2023 @ 14:48:48.000",Failed,password, admin,59.0.197.79,KR
"Jul 24, 2023 @ 14:48:42.000",Failed,password, admin,59.0.197.79,KR
"Jul 24, 2023 @ 14:48:39.000",Invalid,-,admin,59.0.197.79,KR
"Jul 24, 2023 @ 14:31:13.000",Failed,password, anna,67.205.182.19,US
"Jul 24, 2023 @ 14:31:11.000",Invalid,-,anna,67.205.182.19,US
"Jul 24, 2023 @ 14:25:38.000",Failed,password, boris,67.205.182.19,US
"Jul 24, 2023 @ 14:25:36.000",Invalid,-,boris,67.205.182.19,US
"Jul 24, 2023 @ 14:20:02.000",Failed,password,root,67.205.182.19,US
"Jul 24, 2023 @ 14:07:23.000",Failed,password, admin,121.152.247.156,KR
"Jul 24, 2023 @ 14:07:20.000",Failed,password, admin,121.152.247.156,KR
"Jul 24, 2023 @ 14:07:16.000",Failed,password, admin,121.152.247.156,KR
"Jul 24, 2023 @ 14:07:13.000",Failed,password, admin,121.152.247.156,KR
"Jul 24, 2023 @ 14:07:11.000",Invalid,-,admin,121.152.247.156,KR
"Jul 24, 2023 @ 12:21:54.000",Failed,password,mysql,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:54.000",Failed,password,root,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:53.000",Failed,password,root,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:52.000",Failed,password, tom,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:52.000",Failed,password, sales,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:50.000",Invalid,-,tom,116.98.164.181,VN
"Jul 24, 2023 @ 12:21:50.000",Invalid,-,sales,116.98.164.181,VN
"Jul 24, 2023 @ 12:17:43.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 12:17:40.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 12:17:36.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 12:17:32.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 12:17:28.000",Failed,password,root,218.92.0.27,CN
"Jul 24, 2023 @ 12:11:50.000",Failed,password, ftp,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:50.000",Failed,password, system,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:48.000",Invalid,-,system,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:47.000",Invalid,-,ftp,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:47.000",Failed,password,root,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:41.000",Failed,password, support,116.98.164.181,VN
"Jul 24, 2023 @ 12:11:38.000",Invalid,-,support,116.98.164.181,VN
"Jul 24, 2023 @ 12:08:46.000",Failed,password, anna,165.22.8.159,US
"Jul 24, 2023 @ 12:08:44.000",Invalid,-,anna,165.22.8.159,US
"Jul 24, 2023 @ 12:02:58.000",Failed,password, boris,165.22.8.159,US
"Jul 24, 2023 @ 12:02:55.000",Invalid,-,boris,165.22.8.159,US
"Jul 24, 2023 @ 11:57:14.000",Failed,password,root,165.22.8.159,US
"Jul 24, 2023 @ 11:55:06.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:55:02.000",Failed,password,root,218.92.0.25,CN
"Jul 24, 2023 @ 11:55:01.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:54:59.000",Failed,password,root,218.92.0.25,CN
"Jul 24, 2023 @ 11:54:56.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:54:54.000",Failed,password,root,218.92.0.25,CN
"Jul 24, 2023 @ 11:54:53.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:54:51.000",Failed,password,root,218.92.0.25,CN
"Jul 24, 2023 @ 11:54:47.000",Failed,password,root,218.92.0.25,CN
"Jul 24, 2023 @ 11:54:47.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 11:51:44.000",Failed,password,root,61.177.172.179,CN
"Jul 24, 2023 @ 11:51:42.000",Failed,password,root,61.177.172.179,CN
"Jul 24, 2023 @ 11:51:37.000",Failed,password,root,61.177.172.179,CN
